filename,width,height,class,xmin,ymin,xmax,ymax
chee (100).jpg,1000,1250,cheetah,690,445,858,588
chee (101).jpg,1000,664,cheetah,332,73,761,472
chee (102).jpg,1000,664,cheetah,437,234,507,303
chee (107).jpg,1000,667,cheetah,386,235,637,447
chee (109).jpg,1000,667,cheetah,276,153,680,487
chee (111).jpg,1000,1777,cheetah,123,125,711,814
chee (115).jpg,1000,667,cheetah,282,216,396,306
chee (121).jpg,1000,667,cheetah,214,156,466,428
chee (133).jpg,1000,665,cheetah,279,170,501,391
chee (136).jpg,1000,602,cheetah,106,200,239,357
chee (137).jpg,1000,667,cheetah,450,148,578,260
chee (138).jpg,1000,667,cheetah,279,65,937,618
chee (144).jpg,1000,648,cheetah,787,136,940,274
chee (145).jpg,1000,667,cheetah,267,150,635,521
chee (147).jpg,1000,1500,cheetah,79,417,868,1180
chee (155).jpg,1000,952,cheetah,86,134,335,389
chee (156).jpg,1000,1096,cheetah,509,262,876,727
chee (165).jpg,1000,1500,cheetah,496,975,665,1148
chee (169).jpg,1000,667,cheetah,580,152,744,298
chee (171).jpg,1000,1500,cheetah,494,907,687,1069
chee (176).jpg,183,275,cheetah,38,23,158,141
chee (200).jpg,1000,667,cheetah,481,77,657,263
chee (202).jpg,1000,667,cheetah,630,363,732,464
chee (203).jpg,1000,1500,cheetah,421,407,765,755
chee (205).jpg,1000,667,cheetah,563,151,735,322
chee (207).jpg,1000,667,cheetah,471,196,604,339
chee (208).jpg,1000,667,cheetah,519,112,704,307
chee (209).jpg,1000,667,cheetah,348,178,539,372
chee (211).jpg,1000,667,cheetah,740,251,879,371
chee (212).jpg,1000,667,cheetah,627,180,857,393
chee (213).jpg,1000,667,cheetah,560,202,685,318
chee (223).jpg,1000,667,cheetah,643,305,743,399
chee (227).jpg,1000,667,cheetah,588,277,697,390
chee (234).jpg,1000,1500,cheetah,158,114,572,416
chee (238).jpg,1000,667,cheetah,624,430,745,518
chee (241).jpg,1000,667,cheetah,674,28,863,192
chee (244).jpg,1000,667,cheetah,273,401,344,468
chee (246).jpg,1000,667,cheetah,619,182,741,315
chee (253).jpg,1000,1500,cheetah,587,433,848,692
chee (254).jpg,1000,667,cheetah,119,120,393,357
chee (255).jpg,1000,667,cheetah,490,19,650,182
chee (256).jpg,1000,667,cheetah,721,273,830,379
chee (257).jpg,1000,667,cheetah,333,71,461,193
chee (259).jpg,1000,667,cheetah,523,142,889,385
chee (261).jpg,1000,667,cheetah,302,218,635,492
chee (262).jpg,1000,1500,cheetah,418,358,812,714
chee (263).jpg,1000,1500,cheetah,258,600,621,888
chee (264).jpg,1000,1510,cheetah,47,56,873,828
chee (265).jpg,1000,667,cheetah,320,96,745,494
chee (266).jpg,1000,667,cheetah,469,313,547,377
chee (266).jpg,1000,667,cheetah,822,264,903,340
chee (267).jpg,1000,667,cheetah,439,267,569,386
chee (268).jpg,1000,667,cheetah,577,160,727,298
chee (269).jpg,1000,667,cheetah,321,111,473,241
chee (271).jpg,1000,1333,cheetah,229,464,457,652
chee (274).jpg,1000,667,cheetah,255,104,396,260
chee (276).jpg,1000,667,cheetah,234,85,502,268
chee (283).jpg,1000,667,cheetah,205,127,335,271
chee (288).jpg,1000,922,cheetah,260,109,532,395
chee (289).jpg,1000,667,cheetah,241,43,424,240
chee (290).jpg,2250,1500,cheetah,535,101,980,549
chee (291).jpg,1000,526,cheetah,321,101,421,182
chee (292).jpg,1000,665,cheetah,477,221,647,353
chee (297).jpg,1000,667,cheetah,467,189,628,365
chee (298).jpg,1000,640,cheetah,574,171,737,362
chee (299).jpg,1000,1400,cheetah,472,59,921,496
chee (301).jpg,1000,1506,cheetah,506,584,802,807
chee (306).jpg,612,470,cheetah,103,117,223,249
chee (307).jpg,612,407,cheetah,302,170,372,235
chee (308).jpg,612,408,cheetah,166,118,302,224
chee (309).jpg,612,408,cheetah,382,83,474,150
chee (310).jpg,612,407,cheetah,298,166,374,235
chee (315).jpg,612,408,cheetah,165,120,307,228
chee (320).jpg,612,408,cheetah,97,44,293,190
chee (328).jpg,612,408,cheetah,354,80,433,135
chee (332).jpg,612,408,cheetah,324,30,426,127
chee (337).jpg,612,408,cheetah,173,188,229,234
chee (357).jpg,408,612,cheetah,218,126,337,250
chee (358).jpg,408,612,cheetah,95,26,238,167
chee (362).jpg,612,408,cheetah,197,8,323,135
chee (374).jpg,612,408,cheetah,83,58,363,322
chee (376).jpg,612,408,cheetah,311,86,437,204
chee (389).jpg,408,612,cheetah,146,84,284,197
chee (392).jpg,612,408,cheetah,194,112,287,186
chee (403).jpg,612,408,cheetah,121,89,207,154
chee (404).jpg,612,408,cheetah,184,115,263,185
chee (406).jpg,612,408,cheetah,181,95,293,198
chee (407).jpg,612,408,cheetah,386,72,459,160
chee (408).jpg,612,452,cheetah,344,69,510,206
chee (409).jpg,612,408,cheetah,187,75,432,293
chee (410).jpg,612,408,cheetah,268,102,392,238
chee (411).jpg,612,350,cheetah,218,37,364,183
chee (412).jpg,612,408,cheetah,28,10,197,179
chee (413).jpg,408,612,cheetah,208,69,325,183
chee (414).jpg,612,377,cheetah,303,112,388,190
chee (420).jpg,612,486,cheetah,153,114,264,196
